Test;Model;Aggregation;ConfidenceLevel;DatasetDim;KFolds;;Accuracy;;Error;Precision;;Recall;;F-Measure;;PR AUC;;Sensitivity;;Specificity;;TP-Rate;;FP-Rate;;ROC AUC;;Brier;Avg learning time;Var learning time;Avg inference time; Var inference time;
;;;;;;lower bound;;upper bound;;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;;;;;;
210406_0126_Test;M0_CTNB;;90%;840;1;0.8553039044584001;0.8952380952380953;0.9251159261505356;0.10476190476190472;0.8898305084745762;0.9021739130434783;0.9210526315789473;0.8645833333333334;0.9051724137931034;0.8829787234042554;0.9592089666919364;0.9445274264657992;0.9210526315789473;0.8645833333333334;0.8645833333333334;0.9210526315789473;0.9210526315789473;0.8645833333333334;0.13541666666666666;0.07894736842105263;0.9521198830409356;0.9523483187134503;0.09498281077920882;0.544;;0.0017190476190476203;7.448752834467127E-7;
210406_0127_Test;M0_CTNB;;90%;840;1;0.8286546352499187;0.8714285714285714;0.9047519525512496;0.12857142857142856;0.8632478632478633;0.8817204301075269;0.9017857142857143;0.8367346938775511;0.8820960698689957;0.8586387434554974;0.9471314663764494;0.9211087662964251;0.9017857142857143;0.8367346938775511;0.8367346938775511;0.9017857142857143;0.9017857142857143;0.8367346938775511;0.16326530612244897;0.09821428571428571;0.934356778425656;0.9372266763848397;0.11714365197773521;0.99;;0.002276190476190478;1.4665759637188178E-6;
210406_0133_Test;M0_CTNB;;90%;840;1;0.8076380416715554;0.8523809523809524;0.8881579518833992;0.14761904761904765;0.811965811965812;0.9032258064516129;0.9134615384615384;0.7924528301886793;0.8597285067873303;0.8442211055276382;0.907008649759036;0.9324865385483888;0.9134615384615384;0.7924528301886793;0.7924528301886793;0.9134615384615384;0.9134615384615384;0.7924528301886793;0.20754716981132076;0.08653846153846154;0.9121915820029027;0.9186320754716981;0.1442419980427991;0.958;;0.002595238095238097;2.059977324263036E-6;
210406_0133_Test;M0_CTNB;;90%;840;1;0.8076380416715554;0.8523809523809524;0.8881579518833992;0.14761904761904765;0.8035714285714286;0.9081632653061225;0.9090909090909091;0.8018018018018018;0.8530805687203791;0.8516746411483255;0.9194420814098538;0.9182899320250709;0.9090909090909091;0.8018018018018018;0.8018018018018018;0.9090909090909091;0.9090909090909091;0.8018018018018018;0.1981981981981982;0.09090909090909091;0.9181909181909181;0.9167804167804168;0.14242041191109253;0.976;;0.002414285714285716;1.6521768707482958E-6;
210406_0135_Test;M0_CTNB;;90%;840;1;0.7509057268448013;0.8;0.8414611325330655;0.19999999999999996;0.7627118644067796;0.8478260869565217;0.8653846153846154;0.7358490566037735;0.8108108108108107;0.787878787878788;0.8768858769740491;0.8979264569144276;0.8653846153846154;0.7358490566037735;0.7358490566037736;0.8653846153846154;0.8653846153846154;0.7358490566037735;0.2641509433962264;0.1346153846153846;0.881077648766328;0.8863842525399129;0.1819598574404528;0.952;;0.0023000000000000017;1.4576190476190502E-6;
210406_0137_Test;M0_CTNB;;90%;840;1;0.8076380416715554;0.8523809523809524;0.8881579518833992;0.14761904761904765;0.8706896551724138;0.8297872340425532;0.8632478632478633;0.8387096774193549;0.8669527896995709;0.8342245989304813;0.9356686937385581;0.9088722570490035;0.8632478632478633;0.8387096774193549;0.8387096774193549;0.8632478632478633;0.8632478632478633;0.8387096774193549;0.16129032258064516;0.13675213675213677;0.9205036301810495;0.9218362282878412;0.13728368161563473;1.036;;0.0023000000000000017;1.448095238095239E-6;
210406_0137_Test;M0_CTNB;;90%;840;1;0.8076380416715554;0.8523809523809524;0.8881579518833992;0.14761904761904765;0.8108108108108109;0.898989898989899;0.9;0.8090909090909091;0.8530805687203793;0.8516746411483255;0.9175560505772825;0.9340292036225866;0.9;0.8090909090909091;0.8090909090909091;0.9;0.9;0.8090909090909091;0.19090909090909092;0.1;0.9230909090909091;0.9267272727272727;0.13965997469190913;0.986;;0.0023523809523809543;1.3424943310657602E-6;
210406_0139_Test;M0_CTNB;;90%;840;1;0.670451516476602;0.7238095238095238;0.7714729659164097;0.2761904761904762;0.7473684210526316;0.7043478260869566;0.6761904761904762;0.7714285714285715;0.7100000000000001;0.7363636363636364;0.8052866980775288;0.7788782096108703;0.6761904761904762;0.7714285714285715;0.7714285714285715;0.6761904761904762;0.6761904761904762;0.7714285714285715;0.22857142857142856;0.3238095238095238;0.7639909297052154;0.767891156462585;0.2680072726678703;1.017;;0.002252380952380954;1.4648752834467135E-6;
210406_0139_Test;M0_CTNB;;90%;840;1;0.670451516476602;0.7238095238095238;0.7714729659164097;0.2761904761904762;0.7473684210526316;0.7043478260869566;0.6761904761904762;0.7714285714285715;0.7100000000000001;0.7363636363636364;0.8052866980775288;0.7788782096108703;0.6761904761904762;0.7714285714285715;0.7714285714285715;0.6761904761904762;0.6761904761904762;0.7714285714285715;0.22857142857142856;0.3238095238095238;0.7639909297052154;0.767891156462585;0.2680072726678703;1.138;;0.0021523809523809542;1.3005895691610013E-6;
